,2016/06/30 19:00:01,2016/06/30 19:01:01,2016/06/30 19:02:01,2016/06/30 20:00:01,2016/06/30 20:01:01,2016/06/30 20:02:01,2016/06/30 21:00:01,2016/06/30 21:01:01,2016/06/30 21:02:01
TARGET
Dizzy,1100,1100,1100,1120,1121,1121,1140,1141,1141
,20,20,20,20,20,20,20,20,20
,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
ALL
170位,505,505,506,516,516,517,528,529,529,flower
171位,504,505,505,515,515,515,527,527,527,ほんわかたつむり
172位,504,504,504,515,515,515,526,527,527,りらっくすたいむ
173位,504,504,504,515,515,515,525,525,526,魔神宮
174位,504,504,504,513,514,514,525,525,525,ぷにょぷにん
175位,503,503,503,513,513,514,524,524,525,ΣΘ)β47羽
176位,501,501,501,512,513,513,523,524,524,エリザベート21
177位,500,500,500,512,512,512,523,523,523,あひるたぃちょ組
178位,499,499,500,512,512,512,523,523,523,ウィッチ様FC
179位,498,498,499,510,511,511,522,523,523,むかきんぐだーむ
180位,498,498,498,509,509,509,521,521,521,きまぐれいやー
181位,498,498,498,507,507,507,520,521,521,ぱお～ん！！
182位,497,497,497,506,506,507,517,517,517,ダムダムブルー
183位,494,495,495,505,505,505,517,517,517,aLLLight
184位,494,494,494,504,505,505,515,516,516,J&G
185位,494,494,494,504,505,505,515,515,516,エランド
186位,494,494,494,504,504,505,515,515,515,★home★
187位,494,494,494,504,504,504,514,515,515,Ragnark
188位,493,493,493,503,503,504,514,515,515,Liberty☆
189位,490,490,490,501,501,501,514,514,515,月の光　∮
190位,490,490,490,500,501,501,514,514,514,ルーエンハイム
191位,489,489,489,500,500,500,512,512,513,わんうぇいあっぷ
192位,489,489,489,499,499,500,512,512,512,猫娘。亭
193位,489,489,489,499,499,499,512,512,512,Phoenix☆
194位,487,488,488,498,499,499,510,511,511,かーにばる☆彡
195位,486,486,486,495,496,496,509,509,509,WeLOVEぷよ
196位,485,485,485,495,496,496,509,509,509,∞ぷるんちょ∞
197位,484,484,484,495,495,495,507,507,507,Gunners!
198位,484,484,484,494,494,494,506,506,507,Pu---Yo
199位,484,484,484,493,494,494,506,506,506,Clock
200位,484,484,484,493,493,494,504,505,505,～のんびり隠居～
201位,483,483,483,493,493,493,503,503,504,_☆きずな☆
202位,482,482,482,491,492,492,503,503,503,にわかあめ
203位,481,481,481,490,490,491,502,503,503,水守革命
204位,480,481,481,489,490,490,502,502,503,自由空間五色の館
205位,480,480,480,489,490,490,502,502,503,あおいの御紋
206位,480,480,480,489,489,490,501,501,501,脳みそコネコネ
207位,479,479,479,489,489,489,500,500,501,ぷ(♪-∀-)よ
208位,478,478,478,489,489,489,499,500,500,ぷよります会
209位,478,478,478,488,488,489,499,499,499,のんびり☆きまま
210位,477,477,477,488,488,489,499,499,499,無課金修行部
211位,477,477,477,488,488,488,499,499,499,ガンバギルイベ
212位,477,477,477,488,488,488,499,499,499,ぷにっぷに～！
213位,476,476,476,487,487,488,499,499,499,ゼロ鎮魂歌
214位,474,474,475,486,487,487,498,498,498,毎度おおきに！
215位,474,474,475,486,486,486,498,498,498,ぬゅるす
216位,474,474,475,485,485,485,497,497,497,コンパイル懐古会
217位,474,474,474,485,485,485,495,495,496,ピタゴラスイッチ
218位,474,474,474,484,485,485,494,495,495,のんびり仲良く
219位,474,474,474,484,484,484,494,494,494,ArcadiA
220位,474,474,474,484,484,484,493,494,494,P-STYLE
221位,472,472,472,484,484,484,493,493,494,比翼の不死鳥
222位,472,472,472,483,484,484,493,493,493,MYM318☆彡
223位,471,471,472,482,482,482,491,492,492,goro's
224位,471,471,471,481,481,481,491,491,491,カラマギア
225位,471,471,471,481,481,481,491,491,491,bookworm
226位,470,470,471,480,480,481,491,491,491,めろんぱんず
227位,470,470,470,480,480,481,490,490,491,melody
228位,469,469,469,480,480,480,490,490,490,レッツモーフィン
229位,469,469,469,480,480,480,490,490,490,カラフル
230位,469,469,469,479,479,480,489,489,490,花橘
231位,469,469,469,479,479,479,489,489,490,働くおじさん
232位,469,469,469,479,479,479,489,489,489,らららコッペパン
233位,468,469,469,479,479,479,489,489,489,チームお代官様
234位,468,468,469,478,478,478,489,489,489,のんびりギル
235位,468,468,469,478,478,478,489,489,489,気ままに組
236位,468,468,469,477,478,478,489,489,489,凱歌ノ記憶
237位,468,468,468,477,477,477,488,488,488,きずなタワー
238位,467,467,467,477,477,477,488,488,488,ギルドチャンプ
239位,467,467,467,475,475,476,487,488,488,アシュブロ☆
240位,467,467,467,475,475,475,487,487,487,ぷよぷよTime
241位,466,466,467,474,475,475,486,486,486,モヤ2さまぁ～ず
242位,465,465,465,474,474,474,485,485,485,黝ぷよ騎士団
243位,465,465,465,474,474,474,484,484,485,モモレオ
244位,465,465,465,474,474,474,484,484,485,ウォッカコーヒー
245位,464,464,464,472,473,473,484,484,485,マリンバトル
